grantee,privilege,admin_option
DBA,DEBUG ANY PROCEDURE,NO
DBA,FLASHBACK ANY TABLE,NO
DBA,EXECUTE ANY RULE SET,NO
DBA,CREATE ANY RULE,NO
DBA,MANAGE FILE GROUP,NO
DBA,READ ANY FILE GROUP,NO
DBA,CREATE EXTERNAL JOB,NO
DBA,DELETE ANY CUBE DIMENSION,NO
DBA,CREATE MEASURE FOLDER,NO
DBA,DELETE ANY MEASURE FOLDER,NO
DBA,UPDATE ANY CUBE BUILD PROCESS,NO
DBA,FLASHBACK ARCHIVE ADMINISTER,NO
DBA,CREATE PLUGGABLE DATABASE,NO
DBA,SELECT ANY MEASURE FOLDER,NO
DBA,ALTER ANY CUBE BUILD PROCESS,NO
DBA,DELETE ANY TABLE,NO
DBA,CREATE CLUSTER,NO
DBA,CREATE ANY INDEX,NO
DBA,CREATE PUBLIC SYNONYM,NO
DBA,CREATE ANY VIEW,NO
DBA,CREATE ANY SEQUENCE,NO
DBA,CREATE PUBLIC DATABASE LINK,NO
DBA,ALTER DATABASE,NO
DBA,CREATE PROFILE,NO
DBA,GRANT ANY PRIVILEGE,NO
DBA,EXECUTE ANY TYPE,NO
DBA,UNDER ANY TYPE,NO
DBA,ALTER ANY LIBRARY,NO
DBA,ALTER ANY OPERATOR,NO
DBA,CREATE DIMENSION,NO
DBA,DROP ANY DIMENSION,NO
DBA,CREATE ANY EVALUATION CONTEXT,NO
DBA,EXECUTE ANY EVALUATION CONTEXT,NO
DBA,ALTER ANY RULE,NO
DBA,ANALYZE ANY DICTIONARY,NO
DBA,MANAGE SCHEDULER,NO
DBA,ADMINISTER SQL TUNING SET,NO
DBA,CREATE CUBE,NO
DBA,DROP ANY CUBE,NO
DBA,DROP ANY SQL TRANSLATION PROFILE,NO
DBA,USE ANY JOB RESOURCE,NO
DBA,CREATE HIERARCHY,NO
DBA,CREATE ANY ANALYTIC VIEW,NO
DBA,ALTER ANY ANALYTIC VIEW,NO
DBA,DROP TABLESPACE,NO
