grantee,privilege
EM_EXPRESS_ALL,ADMINISTER RESOURCE MANAGER
AUDSYS,CREATE JOB
SCHEDULER_ADMIN,CREATE JOB
SCHEDULER_ADMIN,CREATE ANY JOB
AQ_ADMINISTRATOR_ROLE,CREATE EVALUATION CONTEXT
AQ_ADMINISTRATOR_ROLE,CREATE RULE
OEM_MONITOR,CREATE JOB
DBSNMP,SELECT ANY DICTIONARY
APPQOSSYS,CREATE SESSION
SYSBACKUP,UNLIMITED TABLESPACE
GSMADMIN_INTERNAL,CREATE ANY CREDENTIAL
GSMADMIN_INTERNAL,ALTER ANY TABLE
GSMADMIN_INTERNAL,EXEMPT ACCESS POLICY
GSMCATUSER,CREATE SESSION
XDB,CREATE LIBRARY
WMSYS,DROP ANY PROCEDURE
WMSYS,UPDATE ANY TABLE
WMSYS,DROP ANY SEQUENCE
CTXSYS,CREATE JOB
MDSYS,CREATE PUBLIC SYNONYM
DVSYS,UNLIMITED TABLESPACE
OLAP_DBA,DROP ANY TABLE
OLAP_DBA,CREATE ANY MEASURE FOLDER
DV_REALM_RESOURCE,CREATE SEQUENCE
DV_REALM_OWNER,CREATE ANY CLUSTER
DV_ACCTMGR,DROP PROFILE
DATAPATCH_ROLE,ALTER SESSION
DBA,CREATE SESSION
DBA,CREATE USER
DBA,CREATE ROLLBACK SEGMENT
DBA,SELECT ANY TABLE
DBA,REDEFINE ANY TABLE
DBA,DROP ANY CLUSTER
DBA,ALTER ANY INDEX
DBA,CREATE SYNONYM
DBA,DROP PUBLIC SYNONYM
DBA,DROP ANY SEQUENCE
DBA,CREATE ROLE
DBA,DROP ANY ROLE
DBA,ALTER RESOURCE COST
DBA,ANALYZE ANY
DBA,CREATE MATERIALIZED VIEW
DBA,DROP ANY MATERIALIZED VIEW
DBA,CREATE OPERATOR
DBA,UNDER ANY TABLE
DBA,ALTER ANY OUTLINE
DBA,ADMINISTER RESOURCE MANAGER
DBA,RESUMABLE
DBA,DEBUG ANY PROCEDURE
DBA,FLASHBACK ANY TABLE
DBA,EXECUTE ANY RULE SET
DBA,CREATE ANY RULE
DBA,MANAGE FILE GROUP
DBA,READ ANY FILE GROUP
DBA,CREATE EXTERNAL JOB
DBA,CREATE ANY EDITION
DBA,ALTER ANY ASSEMBLY
DBA,CREATE CUBE DIMENSION
DBA,INSERT ANY CUBE DIMENSION
DBA,CREATE ANY MEASURE FOLDER
DBA,ADMINISTER SQL MANAGEMENT OBJECT
DBA,ALTER ANY SQL TRANSLATION PROFILE
DBA,EM EXPRESS CONNECT
DBA,DROP ANY HIERARCHY
SYSTEM,DEQUEUE ANY QUEUE
SYS,ALTER SYSTEM
SYS,AUDIT SYSTEM
SYS,ALTER TABLESPACE
SYS,CREATE USER
SYS,ALTER ROLLBACK SEGMENT
SYS,DROP ANY TABLE
SYS,CREATE ANY SYNONYM
SYS,DROP ANY SEQUENCE
SYS,SELECT ANY SEQUENCE
SYS,CREATE PUBLIC DATABASE LINK
SYS,CREATE ANY PROCEDURE
SYS,ALTER ANY PROCEDURE
SYS,CREATE TRIGGER
SYS,ALTER ANY TRIGGER
SYS,CREATE ANY MATERIALIZED VIEW
SYS,CREATE ANY TYPE
SYS,ALTER ANY TYPE
SYS,UNDER ANY TYPE
SYS,CREATE LIBRARY
SYS,DROP ANY LIBRARY
SYS,ALTER ANY OPERATOR
SYS,DROP ANY OPERATOR
SYS,ALTER ANY INDEXTYPE
SYS,UNDER ANY TABLE
SYS,ADMINISTER DATABASE TRIGGER
SYS,ALTER ANY RULE SET
SYS,EXECUTE ANY PROGRAM
SYS,MANAGE SCHEDULER
SYS,ALTER ANY CUBE
SYS,CREATE MEASURE FOLDER
SYS,UPDATE ANY CUBE BUILD PROCESS
SYS,USE ANY SQL TRANSLATION PROFILE
SYS,CREATE ATTRIBUTE DIMENSION
AUDIT_ADMIN,AUDIT ANY
IMP_FULL_DATABASE,CREATE ANY PROCEDURE
IMP_FULL_DATABASE,EXECUTE ANY TYPE
IMP_FULL_DATABASE,ADMINISTER DATABASE TRIGGER
IMP_FULL_DATABASE,DROP ANY CLUSTER
IMP_FULL_DATABASE,DROP ANY SYNONYM
IMP_FULL_DATABASE,DROP TABLESPACE
IMP_FULL_DATABASE,DROP USER
IMP_FULL_DATABASE,ALTER ANY PROCEDURE
GSMADMIN_INTERNAL,MANAGE SCHEDULER
DATAPUMP_IMP_FULL_DATABASE,AUDIT SYSTEM
DATAPUMP_IMP_FULL_DATABASE,CREATE PROFILE
IMP_FULL_DATABASE,ALTER TABLESPACE
RECOVERY_CATALOG_OWNER_VPD,CREATE ANY CONTEXT
EM_EXPRESS_BASIC,CREATE SESSION
EM_EXPRESS_ALL,CREATE PROFILE
EXP_FULL_DATABASE,ADMINISTER RESOURCE MANAGER
AQ_ADMINISTRATOR_ROLE,ENQUEUE ANY QUEUE
DBSNMP,INHERIT ANY PRIVILEGES
DBSNMP,CREATE TABLE
SYSDG,SELECT ANY DICTIONARY
GSMADMIN_INTERNAL,SELECT ANY DICTIONARY
GSMADMIN_ROLE,ALTER SYSTEM
GSMADMIN_INTERNAL,SELECT ANY TABLE
GSMADMIN_INTERNAL,UNLIMITED TABLESPACE
XDB,DROP PUBLIC SYNONYM
XDB,CREATE VIEW
WMSYS,DROP ANY INDEX
WMSYS,SELECT ANY TABLE
WMSYS,DROP ANY TRIGGER
WMSYS,DROP USER
WMSYS,INHERIT ANY PRIVILEGES
CTXSYS,CREATE SYNONYM
LBACSYS,CREATE SESSION
MDSYS,CREATE VIEW
OLAP_DBA,SELECT ANY CUBE
OLAP_DBA,CREATE ANY CUBE BUILD PROCESS
OLAP_DBA,CREATE JOB
OLAP_USER,CREATE CUBE BUILD PROCESS
DV_REALM_RESOURCE,CREATE OPERATOR
DV_REALM_RESOURCE,CREATE PROCEDURE
DV_REALM_OWNER,COMMENT ANY TABLE
DV_REALM_OWNER,CREATE ANY DIMENSION
DV_REALM_OWNER,CREATE ANY TABLE
DV_REALM_OWNER,ALTER ANY OPERATOR
DV_REALM_OWNER,ALTER ANY OUTLINE
DV_REALM_OWNER,DELETE ANY TABLE
DV_REALM_OWNER,INSERT ANY TABLE
DV_ACCTMGR,CREATE USER
DV_ACCTMGR,ALTER PROFILE
RESOURCE,CREATE TABLE
RESOURCE,CREATE TRIGGER
RESOURCE,CREATE TYPE
RESOURCE,CREATE OPERATOR
RESOURCE,CREATE INDEXTYPE
DBA,BECOME USER
DBA,DROP USER
DBA,INSERT ANY TABLE
DBA,DROP ANY SYNONYM
DBA,CREATE VIEW
DBA,CREATE TYPE
DBA,EXECUTE ANY OPERATOR
DBA,CREATE INDEXTYPE
DBA,GLOBAL QUERY REWRITE
DBA,ALTER ANY DIMENSION
DBA,ADMINISTER DATABASE TRIGGER
DBA,SELECT ANY DICTIONARY
DBA,GRANT ANY OBJECT PRIVILEGE
DBA,DROP ANY RULE SET
DBA,DROP ANY RULE
DBA,EXECUTE ANY PROGRAM
DBA,ALTER ANY EDITION
DBA,CREATE MINING MODEL
DBA,CREATE ANY MINING MODEL
DBA,ALTER ANY MINING MODEL
DBA,UPDATE ANY CUBE
DBA,ALTER LOCKDOWN PROFILE
DBA,SELECT ANY CUBE BUILD PROCESS
DBA,DROP ANY ATTRIBUTE DIMENSION
DBA,CREATE ANALYTIC VIEW
SYS,CREATE TABLESPACE
SYS,CREATE TABLE
SYS,CREATE ANY TABLE
SYS,COMMENT ANY TABLE
SYS,CREATE ANY CLUSTER
SYS,ALTER ANY ROLE
SYS,AUDIT ANY
SYS,FORCE ANY TRANSACTION
SYS,EXECUTE ANY PROCEDURE
SYS,ALTER PROFILE
SYS,DROP PROFILE
SYS,ALTER RESOURCE COST
SYS,EXECUTE ANY INDEXTYPE
SYS,ENQUEUE ANY QUEUE
SYS,DROP ANY CONTEXT
SYS,MERGE ANY VIEW
SYS,DEBUG ANY PROCEDURE
SYS,DROP ANY EVALUATION CONTEXT
SYS,CREATE ANY JOB
SYS,EXECUTE ANY CLASS
SYS,CREATE EXTERNAL JOB
SYS,CREATE ANY EDITION
SYS,ALTER ANY ASSEMBLY
SYS,EXECUTE ANY ASSEMBLY
SYS,CREATE ANY MINING MODEL
SYS,CREATE ANY CUBE
SYS,CREATE ANY CUBE BUILD PROCESS
SYS,CREATE ANY SQL TRANSLATION PROFILE
SYS,ALTER ANY MEASURE FOLDER
SYS,CREATE HIERARCHY
SYS,ALTER ANY HIERARCHY
SYSTEM,GLOBAL QUERY REWRITE
CDB_DBA,SET CONTAINER
EXP_FULL_DATABASE,RESUMABLE
IMP_FULL_DATABASE,BECOME USER
IMP_FULL_DATABASE,CREATE ANY SYNONYM
IMP_FULL_DATABASE,CREATE ANY VIEW
IMP_FULL_DATABASE,CREATE PUBLIC SYNONYM
IMP_FULL_DATABASE,CREATE ROLLBACK SEGMENT
IMP_FULL_DATABASE,CREATE ROLE
IMP_FULL_DATABASE,CREATE TABLESPACE
IMP_FULL_DATABASE,SELECT ANY TABLE
IMP_FULL_DATABASE,EXECUTE ANY PROCEDURE
IMP_FULL_DATABASE,DROP PUBLIC SYNONYM
IMP_FULL_DATABASE,DROP ANY INDEXTYPE
GSMADMIN_INTERNAL,ALTER SYSTEM
DIP,CREATE SESSION
DATAPUMP_IMP_FULL_DATABASE,CREATE SESSION
DATAPUMP_IMP_FULL_DATABASE,GRANT ANY PRIVILEGE
